id,SALES,IT ORGANIZATION,IT LABOUR,IT STOCK,FIREWALL,SIZE,AGE,LABOUR,CAPITAL,MATERIAL,NOT,ERP,CRM,BOTH
562,15.85283,1,1,3.912023,0,1,2.833213,3.871201,13.22486,15.48148,0,1,0,0
563,17.05838,0,0,4.65396,0,1,3.583519,4.110874,17.31786,16.98299,0,0,0,1
565,16.96824,0,0.0318182,2.833213,0,2,3.663562,5.420535,15.97636,16.833,0,0,0,1
566,16.08691,0,0.6470588,2.564949,0,0,2.302585,2.833213,15.42944,16.01035,1,0,0,0
567,16.97931,0,1,2.197225,0,0,2.890372,2.70805,13.92219,16.92872,1,0,0,0
568,16.35541,0,0.1896552,2.564949,0,1,3.091043,2.70805,15.51516,16.25259,1,0,0,0
569,16.99781,0,0.2439024,3.583519,0,1,3.555348,4.574711,16.86811,16.79749,1,0,0,0
570,17.16385,0,0.3243243,3.555348,0,0,2.639057,3.555348,15.31561,17.02139,1,0,0,0
571,17.09992,1,0.4807692,3.688879,0,1,1.386294,3.806663,16.5939,16.99902,1,0,0,0
572,16.29584,0,0.7222222,2.772589,0,0,1.609438,2.890372,11.83413,16.19443,1,0,0,0
573,17.7502,0,0.5555556,2.995732,0,0,2.564949,3.555348,14.18973,17.6793,1,0,0,0
576,16.64719,0,1,3.688879,0,0,2.197225,3.7612,15.07921,16.48671,1,0,0,0
577,16.49683,1,0.9857143,4.890349,0,1,1.94591,4.234107,15.30407,16.23828,1,0,0,0
580,15.56851,1,1,4.867535,1,1,2.397895,3.555348,16.47672,15.60054,1,0,0,0
581,21.18343,1,0.9655172,8.779557,1,2,2.890372,8.744806,19.07028,20.20971,0,1,0,0
582,17.50837,1,0.9345794,7.325149,1,2,2.302585,5.880533,17.24518,15.33438,1,0,0,0
583,19.28517,1,1,6.856462,1,2,3.178054,5.986452,16.38355,19.18264,1,0,0,0
586,21.97873,1,1,8.987197,1,2,2.197225,7.58883,21.71271,21.83137,0,1,0,0
587,14.40496,1,0.4,2.397895,1,0,1.386294,2.302585,13.85184,13.93418,1,0,0,0
589,17.92585,0,0.75,5.298317,1,2,2.944439,5.459586,18.99054,17.6954,0,1,0,0
590,23.04184,1,1,9.87817,1,2,3.044523,8.360539,23.06017,16.33092,0,1,0,0
592,15.25766,1,0.8,3.496508,1,0,1.386294,3.178054,13.47127,15.00511,0,1,0,0
593,18.62138,1,1,6.126869,1,2,1.386294,5.97381,16.72083,18.5055,1,0,0,0
595,17.47042,1,0.6472727,6.620073,1,2,2.079442,6.620073,17.32065,16.20805,0,1,0,0
596,16.32543,0,0.0689655,4.094345,1,1,2.197225,4.219508,15.24325,15.7007,1,0,0,0
597,17.54689,0,0,5.010635,1,1,2.197225,5.298317,17.00554,17.33597,1,0,0,0
599,13.29745,0,0.25,0.6931472,0,0,2.564949,2.079442,11.20868,13.00572,1,0,0,0
600,15.58112,0,0.8979592,3.828641,0,1,3.465736,3.931826,14.51253,13.98485,0,0,0,1
604,18.55932,0,1,2.70805,0,0,0.6931472,2.995732,15.4391,18.11736,1,0,0,0
605,14.72625,0,0.2352941,6.253829,1,0,1.609438,6.390241,14.21512,14.49135,1,0,0,0
606,17.04697,0,0.4,3.713572,0,1,3.465736,4.976734,17.1962,16.91698,0,0,0,1
613,15.78929,0,1,1.609438,1,0,2.079442,1.609438,12.75626,15.63064,1,0,0,0
616,18.71697,0,1,5.075174,1,1,2.639057,5.02388,16.44059,18.60592,1,0,0,0
618,17.88433,0,0,1.94591,0,0,0.6931472,2.079442,19.83989,11.28861,1,0,0,0
619,18.57965,0,0.0230769,5.736572,1,2,1.609438,5.521461,15.34511,18.51601,1,0,0,0
620,17.68206,0,0.8888889,6.802395,1,2,0,4.844187,16.16776,16.63191,1,0,0,0
622,17.43614,1,0.6837607,5.141664,0,1,2.484907,4.75359,18.88326,16.60043,0,0,0,1
624,16.93296,0,0.9375,3.465736,1,0,2.079442,6.922644,13.28332,16.85668,0,0,0,1
626,19.90519,1,0.9391007,6.856462,1,2,3.465736,7.456455,20.17592,19.20929,0,0,0,1
629,16.22684,1,0.4615385,3.401197,1,1,1.386294,3.828641,17.87298,14.98155,0,0,0,1
630,17.82507,1,1,6.331502,1,1,2.397895,5.003946,18.26693,16.82163,0,0,0,1
631,17.28646,1,0.9,5.840641,1,2,2.197225,5.777652,14.8581,16.90311,0,1,0,0
632,16.30119,1,0.5833333,4.248495,0,1,1.609438,4.859812,16.8339,16.05878,0,0,0,1
633,17.83097,1,0.8888889,6.109248,1,2,3.044523,6.200509,15.55834,17.67646,0,1,0,0
634,22.36323,1,0.9428571,7.26403,1,2,4.143135,6.647688,20.77408,22.25969,0,0,0,1
635,17.42118,0,0.1666667,5.347107,1,2,3.433987,7.627544,15.12669,17.33848,0,0,0,1
639,16.71372,1,0.0337079,4.543295,1,1,3.610918,4.465908,16.44986,16.24926,0,0,0,1
641,16.14472,1,0.754717,2.890372,0,1,1.94591,4.007333,14.39985,15.66357,0,1,0,0
